drug_id,drug_name,therapeutic_area,dosage_form,unit_price,manufacturer
220,Telmisartan,Antiviral,Inhaler,4,Glenmark
221,Budesonide,Antidiabetic,Suspension,17,Abbott
222,Metformin,Antidiabetic,Inhaler,54,Dr Reddy's
223,Escitalopram,Anti-inflammatory,Inhaler,21,Dr Reddy's
224,Diclofenac,Cardiovascular,Ointment,61,Sun Pharma
225,Gabapentin,CNS,Ointment,52,Torrent Pharma
226,Glimepiride,Respiratory,Syrup,18,Alkem Laboratories
227,Pantoprazole,Cardiovascular,Suspension,4,Cipla
228,Sertraline,Antidiabetic,Tablet,23,Glenmark
229,Rabeprazole,Antiviral,Ointment,81,Glenmark
230,Doxycycline,Cardiovascular,Cream,68,Abbott
231,Gabapentin,Antidiabetic,Cream,19,Torrent Pharma
232,Sitagliptin,Analgesic,Injection,56,Zydus
233,Salbutamol,Gastrointestinal,Capsule,7,Cipla
234,Montelukast,Antibiotic,Injection,97,Zydus
235,Diclofenac,Antibiotic,Ointment,58,Alkem Laboratories
236,Montelukast,CNS,Inhaler,92,Cipla
237,Dapagliflozin,Cardiovascular,Tablet,8,Dr Reddy's
238,Azithromycin,Antibiotic,Syrup,92,Mankind Pharm
239,Budesonide,Cardiovascular,Tablet,89,Zydus
240,Acyclovir,Anticancer,Suspension,6,Zydus
241,Salbutamol,Cardiovascular,Capsule,97,Abbott
242,Pregabalin,Analgesic,Capsule,50,Mankind Pharm
243,Aceclofenac,Anticancer,Capsule,39,Alkem Laboratories
244,Sitagliptin,Antiviral,Syrup,37,Cipla
245,Glimepiride,Gastrointestinal,Capsule,54,Alkem Laboratories
246,Diclofenac,Anti-inflammatory,Suspension,16,Glenmark
247,Pantoprazole,Anticancer,Tablet,63,Torrent Pharma
248,Rosuvastatin,CNS,Tablet,34,Zydus
249,Doxycycline,Cardiovascular,Capsule,33,Cipla
250,Amoxicillin,Antiviral,Inhaler,34,Torrent Pharma
251,Aceclofenac,Antidiabetic,Inhaler,40,Glenmark
252,Escitalopram,CNS,Syrup,19,Glenmark
253,Aceclofenac,Gastrointestinal,Cream,30,Abbott
254,Budesonide,Analgesic,Syrup,40,Lupin
255,Fluoxetine,Analgesic,Tablet,55,Torrent Pharma
256,Cefixime,Cardiovascular,Capsule,94,Lupin
257,Aceclofenac,Antidiabetic,Capsule,70,Glenmark
258,Cefixime,Anticancer,Ointment,28,Torrent Pharma
259,Pantoprazole,Cardiovascular,Ointment,36,Dr Reddy's
260,Azithromycin,Antiviral,Tablet,98,Cipla
261,Dapagliflozin,Respiratory,Capsule,89,Lupin
262,Metformin,Antibiotic,Injection,60,Alkem Laboratories
263,Cefixime,Analgesic,Capsule,1,Mankind Pharm
264,Azithromycin,Antibiotic,Capsule,60,Lupin
265,Gabapentin,CNS,Capsule,54,Abbott
266,Sitagliptin,Antiviral,Syrup,1,Torrent Pharma
267,Azithromycin,Anticancer,Inhaler,62,Dr Reddy's
268,Amoxicillin,Gastrointestinal,Capsule,62,Abbott
269,Amoxicillin,Anti-inflammatory,Capsule,8,Sun Pharma
270,Montelukast,Gastrointestinal,Inhaler,64,Alkem Laboratories
271,Atorvastatin,Analgesic,Suspension,45,Cipla
272,Gabapentin,Analgesic,Suspension,50,Lupin
273,Gabapentin,Antibiotic,Inhaler,39,Zydus
274,Sitagliptin,Anticancer,Inhaler,80,Lupin
275,Metformin,Antidiabetic,Tablet,78,Glenmark
276,Doxycycline,Antiviral,Suspension,34,Alkem Laboratories
277,Acyclovir,Anticancer,Tablet,66,Mankind Pharm
278,Salbutamol,CNS,Inhaler,55,Torrent Pharma
279,Rabeprazole,Respiratory,Inhaler,13,Mankind Pharm
280,Sertraline,CNS,Cream,74,Zydus
281,Pregabalin,Antiviral,Cream,62,Cipla
282,Azithromycin,Antibiotic,Capsule,91,Abbott
283,Rabeprazole,Anticancer,Suspension,97,Dr Reddy's
284,Domperidone,Respiratory,Tablet,13,Mankind Pharm
285,Amoxicillin,Antibiotic,Injection,31,Alkem Laboratories
286,Diclofenac,Gastrointestinal,Ointment,23,Cipla
287,Metformin,Anticancer,Suspension,84,Cipla
288,Rabeprazole,Analgesic,Ointment,97,Dr Reddy's
289,Empagliflozin,Antiviral,Cream,92,Glenmark
290,Aceclofenac,Gastrointestinal,Injection,41,Zydus
291,Rosuvastatin,Respiratory,Suspension,8,Lupin
292,Ibuprofen,Analgesic,Syrup,52,Lupin
293,Glimepiride,Antidiabetic,Tablet,19,Alkem Laboratories
294,Paracetamol,Antibiotic,Tablet,29,Abbott
295,Rabeprazole,Gastrointestinal,Capsule,73,Cipla
296,Aceclofenac,Antiviral,Inhaler,53,Alkem Laboratories
297,Salbutamol,Cardiovascular,Injection,94,Abbott
298,Salbutamol,Gastrointestinal,Capsule,4,Abbott
299,Rosuvastatin,Antiviral,Injection,96,Alkem Laboratories
300,Montelukast,Anti-inflammatory,Cream,76,Cipla
301,Telmisartan,Analgesic,Syrup,61,Lupin
302,Sitagliptin,Antiviral,Cream,28,Alkem Laboratories
303,Paracetamol,Analgesic,Injection,49,Torrent Pharma
304,Rosuvastatin,Cardiovascular,Ointment,8,Glenmark
305,Pantoprazole,Antibiotic,Syrup,43,Dr Reddy's
306,Budesonide,Anti-inflammatory,Capsule,67,Abbott
307,Budesonide,Anticancer,Capsule,67,Cipla
308,Montelukast,Cardiovascular,Syrup,23,Alkem Laboratories
309,Sitagliptin,Anticancer,Tablet,98,Lupin
310,Diclofenac,Anticancer,Capsule,12,Glenmark
311,Acyclovir,Anti-inflammatory,Capsule,68,Mankind Pharm
312,Montelukast,Antidiabetic,Injection,97,Zydus
313,Domperidone,Antibiotic,Suspension,16,Glenmark
314,Budesonide,Gastrointestinal,Suspension,95,Dr Reddy's
315,Ibuprofen,Antibiotic,Ointment,9,Alkem Laboratories
316,Losartan,CNS,Tablet,6,Cipla
317,Rabeprazole,Gastrointestinal,Capsule,71,Mankind Pharm
318,Pregabalin,Cardiovascular,Tablet,4,Glenmark
319,Empagliflozin,CNS,Ointment,81,Glenmark
320,Gabapentin,CNS,Ointment,1,Lupin
321,Pregabalin,Antiviral,Tablet,18,Alkem Laboratories
322,Fluoxetine,Anticancer,Ointment,77,Alkem Laboratories
323,Doxycycline,Anticancer,Tablet,85,Abbott
324,Gabapentin,Anti-inflammatory,Suspension,54,Zydus
325,Budesonide,Antidiabetic,Tablet,18,Alkem Laboratories
326,Diclofenac,Cardiovascular,Injection,70,Mankind Pharm
327,Ibuprofen,Respiratory,Capsule,42,Alkem Laboratories
328,Ibuprofen,Anticancer,Cream,89,Dr Reddy's
329,Paracetamol,Antidiabetic,Capsule,51,Glenmark
330,Aceclofenac,Gastrointestinal,Cream,68,Cipla
331,Empagliflozin,Antibiotic,Capsule,49,Dr Reddy's
332,Fluoxetine,Analgesic,Cream,63,Glenmark
333,Gabapentin,CNS,Suspension,22,Sun Pharma
334,Fluoxetine,Antiviral,Cream,54,Abbott
335,Telmisartan,Analgesic,Syrup,50,Zydus
336,Sitagliptin,Anticancer,Suspension,90,Torrent Pharma
337,Ibuprofen,Analgesic,Capsule,82,Cipla
338,Empagliflozin,Gastrointestinal,Ointment,50,Abbott
339,Amoxicillin,Anti-inflammatory,Ointment,64,Glenmark
340,Telmisartan,CNS,Suspension,8,Abbott
341,Doxycycline,Antibiotic,Ointment,20,Alkem Laboratories
342,Telmisartan,Respiratory,Cream,100,Abbott
343,Cefixime,Gastrointestinal,Ointment,50,Glenmark
344,Metformin,CNS,Ointment,91,Cipla
345,Ibuprofen,Cardiovascular,Inhaler,47,Torrent Pharma
346,Rosuvastatin,Antiviral,Ointment,91,Mankind Pharm
347,Metformin,Gastrointestinal,Injection,81,Cipla
348,Telmisartan,Antiviral,Syrup,47,Torrent Pharma
349,Ibuprofen,Anticancer,Capsule,68,Alkem Laboratories
350,Losartan,Antiviral,Syrup,8,Abbott
351,Gabapentin,Anti-inflammatory,Injection,37,Glenmark
352,Cefixime,Respiratory,Tablet,2,Torrent Pharma
353,Domperidone,Gastrointestinal,Cream,82,Mankind Pharm
354,Empagliflozin,Antiviral,Capsule,92,Lupin
355,Rabeprazole,CNS,Ointment,30,Sun Pharma
356,Gabapentin,Cardiovascular,Cream,42,Cipla
357,Cefixime,Anti-inflammatory,Injection,21,Mankind Pharm
358,Fluoxetine,Anticancer,Capsule,64,Torrent Pharma
359,Losartan,Respiratory,Inhaler,99,Glenmark
360,Cefixime,Gastrointestinal,Inhaler,75,Zydus
361,Montelukast,Cardiovascular,Tablet,39,Cipla
362,Dapagliflozin,Cardiovascular,Capsule,32,Dr Reddy's
363,Sitagliptin,Antidiabetic,Injection,91,Glenmark
364,Empagliflozin,Respiratory,Capsule,30,Sun Pharma
365,Amlodipine,Respiratory,Inhaler,43,Abbott
366,Cefixime,Analgesic,Suspension,89,Glenmark
367,Escitalopram,Analgesic,Inhaler,7,Zydus
368,Ibuprofen,Gastrointestinal,Tablet,84,Abbott
369,Ibuprofen,Antidiabetic,Suspension,83,Cipla
370,Ibuprofen,Antiviral,Syrup,55,Glenmark
371,Rabeprazole,Antibiotic,Ointment,70,Lupin
372,Cefixime,Gastrointestinal,Cream,35,Mankind Pharm
373,Dapagliflozin,Antibiotic,Syrup,83,Mankind Pharm
374,Acyclovir,Antibiotic,Tablet,71,Glenmark
375,Rabeprazole,Antiviral,Suspension,49,Alkem Laboratories
376,Azithromycin,Anticancer,Tablet,66,Zydus
377,Fluoxetine,Anticancer,Ointment,38,Zydus
378,Metformin,Antiviral,Injection,58,Mankind Pharm
379,Pregabalin,Anti-inflammatory,Ointment,96,Dr Reddy's
380,Salbutamol,Anticancer,Suspension,76,Dr Reddy's
381,Telmisartan,Analgesic,Syrup,91,Cipla
382,Pantoprazole,Cardiovascular,Inhaler,50,Abbott
383,Amoxicillin,Cardiovascular,Cream,85,Mankind Pharm
384,Rabeprazole,Respiratory,Inhaler,20,Torrent Pharma
385,Amoxicillin,CNS,Suspension,83,Torrent Pharma
386,Amlodipine,Cardiovascular,Inhaler,75,Zydus
387,Azithromycin,Respiratory,Syrup,82,Zydus
388,Telmisartan,Respiratory,Syrup,56,Cipla
389,Escitalopram,Anticancer,Injection,40,Zydus
390,Diclofenac,Anti-inflammatory,Ointment,74,Zydus
391,Montelukast,Antiviral,Suspension,71,Glenmark
392,Azithromycin,Anticancer,Capsule,22,Zydus
393,Escitalopram,CNS,Inhaler,5,Dr Reddy's
394,Doxycycline,Anticancer,Capsule,77,Mankind Pharm
395,Ibuprofen,Anti-inflammatory,Inhaler,27,Glenmark
396,Aceclofenac,Anti-inflammatory,Cream,45,Alkem Laboratories
397,Pregabalin,CNS,Capsule,82,Sun Pharma
398,Fluoxetine,Cardiovascular,Ointment,26,Alkem Laboratories
399,Ibuprofen,Antiviral,Capsule,90,Abbott
400,Gabapentin,Antidiabetic,Suspension,60,Abbott
401,Aceclofenac,Anti-inflammatory,Cream,97,Torrent Pharma
402,Sitagliptin,Gastrointestinal,Syrup,82,Alkem Laboratories
403,Acyclovir,Respiratory,Inhaler,60,Torrent Pharma
404,Empagliflozin,Antidiabetic,Syrup,7,Torrent Pharma
405,Amoxicillin,Anti-inflammatory,Cream,30,Lupin
406,Cefixime,Analgesic,Cream,4,Dr Reddy's
407,Dapagliflozin,Cardiovascular,Inhaler,50,Zydus
408,Rosuvastatin,Antiviral,Inhaler,64,Abbott
409,Doxycycline,Antibiotic,Cream,55,Cipla
410,Rosuvastatin,Gastrointestinal,Ointment,17,Glenmark
411,Rabeprazole,Antidiabetic,Syrup,74,Mankind Pharm
412,Metformin,Analgesic,Inhaler,9,Alkem Laboratories
413,Gabapentin,Antidiabetic,Cream,94,Lupin
414,Paracetamol,CNS,Tablet,3,Mankind Pharm
415,Amoxicillin,Antiviral,Suspension,90,Lupin
416,Diclofenac,CNS,Syrup,56,Mankind Pharm
417,Atorvastatin,Gastrointestinal,Cream,72,Lupin
418,Pregabalin,Respiratory,Tablet,52,Torrent Pharma
419,Sertraline,CNS,Cream,21,Glenmark
420,Montelukast,Respiratory,Tablet,6,Dr Reddy's
421,Telmisartan,Respiratory,Ointment,59,Torrent Pharma
422,Pantoprazole,Cardiovascular,Cream,62,Abbott
423,Doxycycline,Antibiotic,Syrup,90,Abbott
424,Fluoxetine,Anti-inflammatory,Tablet,99,Cipla
425,Budesonide,Anticancer,Suspension,17,Abbott
426,Empagliflozin,Analgesic,Cream,82,Zydus
427,Rosuvastatin,Cardiovascular,Suspension,96,Cipla
428,Glimepiride,Anticancer,Capsule,75,Sun Pharma
429,Cefixime,Analgesic,Tablet,23,Sun Pharma
430,Rabeprazole,Antibiotic,Injection,36,Lupin
431,Azithromycin,Gastrointestinal,Capsule,16,Cipla
432,Dapagliflozin,Anti-inflammatory,Syrup,75,Abbott
433,Sitagliptin,Respiratory,Injection,49,Mankind Pharm
434,Empagliflozin,Analgesic,Ointment,70,Sun Pharma
435,Doxycycline,Antibiotic,Cream,51,Dr Reddy's
436,Empagliflozin,Analgesic,Suspension,39,Lupin
437,Empagliflozin,Respiratory,Syrup,16,Abbott
438,Metformin,Antidiabetic,Syrup,13,Glenmark
439,Losartan,Anti-inflammatory,Capsule,45,Mankind Pharm
440,Cefixime,Analgesic,Inhaler,88,Zydus
441,Fluoxetine,Gastrointestinal,Ointment,14,Torrent Pharma
442,Montelukast,Anti-inflammatory,Tablet,37,Mankind Pharm
443,Rosuvastatin,Anti-inflammatory,Syrup,18,Cipla
444,Paracetamol,Gastrointestinal,Suspension,13,Sun Pharma
445,Metformin,Antiviral,Suspension,36,Dr Reddy's
446,Gabapentin,Antidiabetic,Syrup,88,Torrent Pharma
447,Diclofenac,Gastrointestinal,Suspension,28,Abbott
448,Rabeprazole,Analgesic,Injection,1,Sun Pharma
449,Acyclovir,Respiratory,Inhaler,38,Dr Reddy's
450,Cefixime,Cardiovascular,Inhaler,76,Cipla
451,Sertraline,Gastrointestinal,Suspension,62,Cipla
452,Amoxicillin,Antidiabetic,Syrup,39,Torrent Pharma
453,Empagliflozin,Anti-inflammatory,Ointment,51,Sun Pharma
454,Gabapentin,Analgesic,Ointment,76,Lupin
455,Atorvastatin,Antidiabetic,Suspension,4,Sun Pharma
456,Pregabalin,Antibiotic,Cream,85,Cipla
457,Losartan,Respiratory,Injection,34,Mankind Pharm
458,Fluoxetine,Antibiotic,Inhaler,79,Zydus
459,Diclofenac,Respiratory,Cream,15,Zydus
460,Doxycycline,Antibiotic,Cream,37,Glenmark
461,Gabapentin,Anti-inflammatory,Ointment,50,Zydus
462,Cefixime,Antiviral,Capsule,45,Alkem Laboratories
463,Domperidone,CNS,Ointment,40,Abbott
