inventory_id,drug_id,batch_number,stock_quantity,reorder_level,expiry_date,supplier_id
62,773,B2025A003,135,1122,2029/03/30,10
63,308,B2025A002,758,1449,2028/07/12,16
64,469,B2026A003,259,414,2030/11/30,3
65,789,B2025A004,993,909,2029/04/27,15
66,66,B2026A003,332,619,2029/07/12,6
67,864,B2026A002,2,901,2027/12/08,19
68,90,B2026A001,622,401,2027/08/03,13
69,136,B2026A004,733,198,2028/11/05,10
70,274,B2025A005,756,1606,2029/08/13,9
71,485,B2025A004,413,322,2030/07/31,12
72,549,B2025A005,996,1473,2029/05/27,8
73,163,B2025A001,511,506,2029/05/03,2
74,120,B2026A002,966,1590,2029/03/27,11
75,749,B2025A003,653,1381,2028/02/15,18
76,782,B2025A001,185,1003,2027/10/10,18
77,768,B2025A003,432,355,2027/09/16,17
78,370,B2025A005,161,199,2029/12/29,11
79,336,B2026A004,688,1839,2027/06/04,3
80,723,B2026A004,165,1050,2027/04/30,18
81,881,B2026A003,181,891,2028/02/24,9
82,81,B2025A001,458,1784,2027/11/12,18
83,777,B2026A004,778,562,2030/05/12,5
84,379,B2026A001,625,1116,2029/01/01,10
85,573,B2025A001,925,541,2029/07/28,5
86,634,B2025A003,173,823,2029/04/13,11
87,797,B2025A001,785,110,2030/02/08,3
88,306,B2025A005,52,1377,2028/12/07,7
89,697,B2026A003,765,168,2029/04/07,19
90,770,B2025A002,467,485,2029/12/23,8
91,664,B2026A004,743,1366,2030/11/27,14
92,928,B2026A004,194,1503,2028/11/30,9
93,269,B2025A001,132,367,2027/08/05,4
94,670,B2025A005,789,126,2028/10/17,9
95,845,B2025A004,13,1799,2027/05/31,7
96,622,B2026A002,756,249,2030/07/04,16
97,619,B2025A001,472,464,2030/10/18,4
98,623,B2025A005,570,1341,2029/10/04,16
99,182,B2026A003,130,450,2029/01/03,1
100,366,B2025A001,731,591,2028/01/18,5
101,211,B2026A002,548,1684,2030/07/02,2
102,888,B2025A001,959,1663,2030/09/06,1
103,584,B2026A001,175,1885,2027/01/30,20
104,706,B2025A005,329,421,2030/01/02,14
105,64,B2025A003,851,1283,2028/06/11,17
106,934,B2025A001,813,328,2028/02/11,17
107,653,B2025A002,859,863,2027/11/13,3
108,373,B2026A002,424,387,2027/08/27,19
109,270,B2026A004,182,809,2030/12/09,5
110,419,B2026A005,438,1306,2028/12/28,17
111,681,B2025A002,248,864,2028/10/02,4
112,232,B2025A004,809,1819,2028/08/23,1
113,548,B2025A004,554,1920,2027/10/02,19
114,287,B2026A005,424,1253,2030/03/06,2
115,433,B2025A005,87,1238,2028/02/22,17
116,579,B2026A004,823,1871,2030/05/07,10
117,623,B2026A002,490,1916,2029/11/27,15
118,845,B2025A001,667,122,2029/03/20,15
119,430,B2026A003,865,1304,2027/08/10,11
120,559,B2026A004,28,1529,2029/06/07,4
121,990,B2026A001,238,101,2030/07/10,12
122,141,B2026A004,556,386,2028/07/26,19
123,824,B2026A004,232,1468,2027/04/12,17
124,613,B2025A002,387,1390,2030/10/03,6
125,842,B2025A002,70,1769,2028/12/29,12
126,30,B2026A002,656,857,2028/05/18,11
127,437,B2026A004,763,1004,2027/08/06,6
128,818,B2026A001,593,1472,2028/12/09,10
129,944,B2026A004,196,341,2029/04/23,12
130,330,B2026A003,440,1181,2027/11/21,18
131,415,B2025A002,780,1670,2029/01/15,16
132,757,B2025A004,956,1476,2027/12/20,14
133,845,B2025A004,375,758,2028/07/22,11
134,841,B2025A001,839,1035,2029/07/08,3
135,556,B2025A003,399,1243,2027/01/19,2
136,725,B2026A001,916,319,2028/02/13,1
137,594,B2025A001,34,1747,2030/10/12,14
138,928,B2026A002,480,1707,2030/12/23,8
139,791,B2026A003,419,1752,2029/05/16,4
140,128,B2026A004,85,664,2028/12/17,9
141,771,B2026A005,852,937,2029/08/07,13
142,458,B2025A004,726,1964,2029/03/07,1
143,676,B2025A003,392,398,2028/06/29,3
144,845,B2025A005,243,714,2030/05/25,18
145,133,B2025A004,163,1664,2027/06/17,1
146,661,B2026A004,660,1599,2027/04/10,18
147,37,B2026A004,447,191,2030/05/16,5
148,627,B2025A005,347,1387,2028/05/17,15
149,691,B2025A003,1,1633,2028/01/26,5
150,754,B2026A005,183,305,2028/10/07,18
151,92,B2025A001,896,298,2028/04/23,5
152,892,B2026A004,162,827,2029/02/18,12
153,7,B2026A001,647,1925,2028/12/08,10
154,726,B2026A004,560,1548,2029/07/05,7
155,604,B2025A005,244,1638,2029/06/25,9
156,831,B2025A002,540,767,2030/10/18,13
157,894,B2025A004,995,153,2030/01/23,8
158,881,B2026A002,848,1072,2027/10/08,8
159,306,B2025A002,702,810,2030/05/24,17
160,663,B2025A004,351,1494,2030/06/28,8
161,849,B2025A002,511,1495,2027/01/01,8
162,954,B2025A002,242,1421,2028/06/10,15
163,351,B2025A001,929,1669,2030/03/31,2
164,691,B2025A004,711,693,2029/08/05,3
165,694,B2026A002,506,172,2030/05/04,4
166,363,B2025A002,97,318,2028/12/23,19
167,834,B2026A001,229,687,2030/12/13,18
168,388,B2025A001,149,448,2028/02/01,17
169,690,B2026A001,683,1174,2029/12/16,17
170,868,B2026A005,14,1674,2029/07/21,1
171,166,B2025A005,927,1686,2030/10/03,2
172,343,B2026A004,551,528,2030/04/07,9
173,17,B2025A001,945,1784,2027/10/07,4
174,449,B2026A005,687,1243,2028/07/21,9
175,555,B2026A005,868,1004,2028/03/30,3
176,227,B2025A001,832,1620,2027/01/03,8
177,755,B2026A002,240,307,2030/03/04,19
178,200,B2026A001,198,754,2027/10/12,14
179,370,B2026A002,387,1623,2029/07/13,16
180,482,B2025A004,709,1692,2027/02/18,4
181,588,B2026A002,227,443,2027/12/19,11
182,583,B2025A005,652,790,2029/12/09,14
183,596,B2025A003,343,942,2029/04/09,13
184,75,B2026A005,415,1999,2028/06/08,7
185,799,B2025A004,933,747,2028/08/15,1
186,348,B2026A001,861,1744,2030/06/07,10
187,645,B2026A002,183,1464,2029/11/07,7
188,672,B2026A005,468,1942,2030/07/14,4
189,379,B2026A004,896,1656,2030/03/02,14
190,529,B2025A004,612,1510,2028/11/05,5
191,209,B2026A003,590,738,2030/06/28,6
192,759,B2025A005,15,1742,2028/10/23,15
193,382,B2026A004,310,552,2028/07/29,20
194,88,B2025A004,52,1337,2028/11/10,2
195,657,B2025A003,346,752,2028/12/10,8
196,329,B2025A001,943,1870,2030/11/08,3
197,957,B2026A004,229,164,2027/07/25,19
198,642,B2025A004,861,1065,2030/12/21,12
199,51,B2026A005,387,1502,2027/10/29,5
200,646,B2025A004,809,587,2027/02/08,10
201,138,B2025A004,75,431,2028/07/05,20
202,965,B2026A005,520,1034,2028/09/06,18
203,778,B2025A005,12,111,2027/11/12,20
204,18,B2026A004,753,398,2029/11/27,5
205,643,B2026A001,704,1222,2028/01/06,19
206,156,B2026A005,927,631,2029/07/27,14
207,408,B2026A005,56,999,2027/10/20,17
208,686,B2026A003,551,1997,2029/10/21,18
209,742,B2025A004,978,1588,2028/09/03,18
210,401,B2025A005,155,923,2030/06/11,9
211,89,B2025A001,554,1669,2027/06/23,8
212,399,B2025A005,510,1164,2028/11/30,6
213,592,B2026A005,642,1636,2027/10/12,12
214,888,B2025A005,219,593,2029/07/02,3
215,918,B2025A001,374,1189,2029/03/29,11
216,290,B2025A001,10,1234,2028/04/28,6
217,478,B2026A003,351,1562,2028/04/30,15
218,848,B2026A002,380,1061,2027/06/23,14
219,499,B2026A005,103,491,2028/07/12,19
220,231,B2025A004,672,1369,2027/11/14,1
221,277,B2026A005,946,966,2029/10/30,4
222,904,B2025A005,758,587,2029/06/02,18
223,106,B2026A004,160,1564,2029/07/12,9
224,598,B2025A003,715,573,2029/03/04,17
225,91,B2025A002,515,1698,2027/08/08,8
226,982,B2025A004,77,1641,2027/03/08,9
227,438,B2026A004,766,649,2030/12/21,13
228,809,B2026A001,606,1099,2028/02/02,6
229,205,B2026A003,538,569,2030/11/03,7
230,947,B2025A002,852,1291,2027/12/09,11
231,830,B2025A001,432,174,2029/02/09,2
232,699,B2026A001,706,163,2029/02/07,12
233,350,B2025A005,264,1997,2029/06/30,14
234,934,B2025A004,296,677,2029/10/20,1
235,288,B2026A002,103,1910,2028/11/20,13
236,149,B2025A003,476,977,2028/07/08,6
237,668,B2025A002,457,464,2029/02/12,18
238,464,B2026A005,296,1020,2027/12/31,18
239,49,B2025A001,184,1879,2027/08/12,11
240,902,B2025A004,183,783,2030/06/15,8
241,845,B2026A005,444,528,2029/02/10,6
242,346,B2026A001,417,583,2027/03/14,19
243,638,B2026A002,904,339,2029/03/25,13
244,604,B2026A002,87,253,2027/07/04,3
245,374,B2025A003,243,567,2029/08/28,9
246,702,B2025A002,126,756,2028/09/19,13
247,710,B2026A001,81,1989,2030/07/21,13
248,279,B2026A005,519,723,2030/09/06,19
249,424,B2025A005,753,278,2027/10/05,2
250,827,B2025A001,589,1765,2029/12/01,15
251,690,B2026A001,446,239,2028/11/05,8
252,453,B2025A004,341,182,2029/07/03,20
253,454,B2026A002,610,459,2029/08/06,20
254,978,B2026A002,961,1376,2028/08/28,20
255,537,B2025A002,456,763,2029/12/30,14
256,214,B2025A005,44,373,2030/10/22,13
257,832,B2025A001,166,1371,2028/04/14,4
258,752,B2025A003,403,675,2030/03/22,8
259,262,B2026A002,440,269,2028/09/14,16
260,88,B2026A002,821,112,2027/01/21,15
261,348,B2026A001,461,1140,2030/08/07,6
262,917,B2025A003,757,811,2030/05/08,11
263,280,B2025A002,367,1076,2027/07/23,2
264,455,B2026A001,360,682,2029/09/16,14
265,128,B2025A005,231,1468,2027/11/18,8
266,582,B2025A004,760,264,2030/03/04,9
267,159,B2025A002,326,215,2028/12/03,12
268,99,B2025A004,177,247,2029/05/06,10
269,755,B2026A005,787,1930,2030/07/05,2
270,297,B2026A005,845,481,2028/02/15,17
271,320,B2025A003,541,732,2028/10/20,17
272,557,B2026A003,105,1020,2028/02/01,11
273,780,B2026A002,193,1139,2030/02/08,5
274,222,B2025A004,135,567,2030/01/11,4
275,144,B2025A005,798,1493,2030/12/11,20
276,478,B2025A005,691,859,2030/02/28,10
277,283,B2025A005,283,1678,2030/05/09,15
278,923,B2026A004,61,1516,2027/06/10,10
279,153,B2026A002,843,452,2030/01/12,18
280,107,B2026A004,56,1043,2030/10/28,1
281,354,B2026A001,59,212,2029/06/28,3
282,989,B2026A005,959,558,2027/04/22,2
283,331,B2026A002,117,610,2030/11/09,10
284,755,B2026A004,442,1675,2030/07/18,8
285,177,B2026A003,766,1658,2028/11/23,10
286,494,B2026A005,197,1560,2030/04/21,8
287,428,B2026A002,125,757,2028/07/01,4
288,821,B2025A005,674,1166,2030/01/28,17
289,873,B2025A002,440,1858,2027/07/20,17
290,385,B2026A005,17,1670,2028/09/22,7
291,182,B2026A005,471,653,2029/09/05,11
292,407,B2026A004,451,1911,2030/01/28,16
293,987,B2025A004,711,1764,2027/05/25,12
294,831,B2026A002,46,1393,2028/06/12,20
295,594,B2025A004,436,664,2027/06/23,10
296,425,B2025A002,571,1337,2030/11/23,5
297,197,B2026A002,785,1382,2028/09/17,11
298,812,B2025A001,145,735,2030/05/05,4
299,416,B2025A005,526,384,2028/05/07,12
300,803,B2025A005,327,1607,2029/12/15,14
301,472,B2026A002,792,145,2030/12/16,11
302,327,B2025A003,378,625,2030/11/15,4
303,381,B2026A003,519,1201,2027/02/15,6
304,154,B2026A001,174,819,2027/08/20,11
305,225,B2026A003,716,594,2029/12/20,19
306,506,B2026A002,815,1617,2029/01/24,5
307,490,B2025A002,770,1481,2027/06/17,4
308,459,B2026A003,30,1575,2027/12/22,13
309,913,B2026A002,514,1504,2030/10/12,20
310,190,B2026A002,619,234,2027/09/27,8
311,382,B2025A003,939,1828,2030/05/06,12
312,518,B2026A004,210,1665,2028/01/12,16
313,610,B2025A001,991,829,2027/08/14,16
314,778,B2026A003,842,258,2030/11/27,13
315,665,B2026A003,523,1888,2030/11/12,13
316,642,B2026A005,789,132,2028/09/30,18
317,297,B2025A003,378,570,2028/08/19,19
318,915,B2026A004,504,1485,2028/05/04,9
319,281,B2025A002,561,1022,2030/05/25,20
320,596,B2025A003,372,840,2030/09/20,16
321,566,B2026A004,316,1776,2028/02/14,17
322,663,B2025A002,64,1880,2027/06/24,11
323,471,B2026A004,996,1008,2027/03/10,14
324,885,B2025A002,451,1152,2027/09/06,9
325,886,B2025A002,976,1855,2029/02/01,6
326,999,B2025A001,432,1567,2029/02/08,17
327,132,B2026A002,362,1987,2028/03/05,7
328,374,B2025A002,29,1418,2028/06/14,1
329,194,B2025A002,330,1409,2028/07/22,15
330,838,B2025A004,586,717,2030/03/02,15
331,900,B2025A004,433,711,2028/08/01,8
332,170,B2025A001,402,1225,2030/11/25,9
333,275,B2026A005,613,772,2028/12/22,3
334,843,B2026A005,612,1048,2028/09/02,9
335,943,B2025A001,310,1569,2028/02/18,11
336,897,B2025A003,912,1303,2028/03/17,15
337,662,B2026A003,811,726,2028/01/14,9
338,242,B2025A001,815,463,2029/06/19,2
339,540,B2025A001,264,1176,2027/05/22,13
340,224,B2025A004,129,537,2029/09/28,9
341,941,B2026A005,784,215,2029/01/28,20
342,94,B2026A005,212,1245,2030/05/07,14
343,420,B2026A003,278,1395,2028/07/09,2
344,669,B2026A005,709,568,2027/03/21,8
345,902,B2025A001,711,1026,2029/11/20,5
346,655,B2026A004,168,1960,2030/10/29,18
347,890,B2026A005,874,557,2029/12/27,17
348,629,B2026A004,396,999,2029/08/23,9
349,950,B2026A003,432,1248,2028/12/24,16
350,87,B2026A005,268,1112,2029/10/10,2
351,513,B2025A002,353,860,2027/07/28,2
352,951,B2026A002,864,1340,2027/05/28,5
353,180,B2025A005,494,998,2027/04/30,4
354,99,B2026A003,327,237,2029/03/15,20
355,117,B2025A002,497,1536,2029/06/17,10
356,87,B2026A003,308,1985,2027/04/29,2
357,468,B2025A001,803,432,2029/03/23,13
358,770,B2025A001,662,1951,2030/07/09,10
359,197,B2025A003,639,884,2030/08/02,8
360,620,B2026A001,935,317,2027/07/07,19
361,65,B2025A005,734,558,2030/04/23,2
362,7,B2026A003,669,576,2028/05/23,20
363,569,B2025A005,242,1996,2027/05/14,11
364,673,B2026A002,148,1664,2028/05/22,5
365,999,B2025A005,722,786,2027/10/19,17
366,117,B2026A003,210,178,2030/05/06,4
367,154,B2025A002,504,1582,2029/02/26,11
368,359,B2025A001,437,776,2030/04/19,11
369,822,B2025A001,892,1162,2028/05/27,1
370,652,B2026A004,553,203,2030/03/28,11
371,352,B2025A004,100,1956,2030/10/23,10
372,758,B2025A003,915,344,2029/04/27,7
373,392,B2025A003,655,225,2029/07/20,18
374,102,B2026A004,6,1301,2028/08/04,3
375,240,B2026A004,459,596,2028/02/06,9
376,65,B2025A001,251,352,2028/11/15,19
377,962,B2025A003,636,1403,2030/05/08,9
378,606,B2026A001,133,580,2027/10/01,13
379,351,B2026A001,855,793,2028/12/29,10
380,1000,B2026A005,683,1704,2029/07/15,11
381,896,B2026A003,65,358,2028/03/20,16
382,235,B2025A001,225,1292,2027/07/18,20
383,386,B2026A003,453,259,2029/10/19,3
384,202,B2025A005,674,1889,2028/12/13,16
385,399,B2026A002,188,1032,2029/07/02,7
386,284,B2025A003,886,337,2027/08/15,4
387,756,B2025A003,270,199,2029/01/27,19
388,708,B2026A005,25,1098,2028/06/30,11
389,426,B2026A005,572,1290,2030/08/11,17
390,521,B2026A002,208,1178,2029/01/20,16
391,717,B2025A005,921,1084,2027/08/20,6
392,268,B2025A002,1000,857,2030/06/15,6
393,159,B2025A002,163,935,2027/11/02,6
394,644,B2026A005,564,1346,2029/09/22,1
395,356,B2026A001,46,1104,2027/01/10,7
396,62,B2026A002,321,1397,2029/03/19,18
397,587,B2025A004,967,941,2028/04/04,15
398,306,B2026A002,217,1237,2029/10/01,10
399,807,B2025A004,746,256,2030/04/19,8
400,997,B2026A004,489,767,2028/11/07,12
401,394,B2025A002,125,1867,2029/11/19,16
402,155,B2025A001,491,101,2027/12/14,14
403,123,B2025A001,492,1476,2029/08/02,7
404,200,B2026A002,709,682,2027/06/16,15
405,539,B2025A003,385,744,2029/08/27,7
406,157,B2025A004,267,1931,2028/02/11,4
407,870,B2025A005,445,1540,2027/08/17,15
408,457,B2026A002,889,1594,2028/01/10,2
409,901,B2025A004,612,1787,2030/11/21,7
410,843,B2025A003,41,597,2030/02/10,18
411,99,B2026A001,554,1299,2027/01/03,8
412,886,B2025A003,39,658,2028/04/24,3
413,448,B2025A001,250,1497,2027/05/31,4
414,600,B2025A001,923,1437,2029/01/07,15
415,559,B2026A001,558,1291,2028/02/22,13
416,600,B2025A001,338,347,2028/10/14,8
417,777,B2026A001,229,1974,2027/05/13,9
418,860,B2025A005,680,379,2029/09/08,14
419,80,B2026A005,421,723,2028/09/28,7
420,638,B2026A001,599,1528,2030/07/28,18
421,844,B2025A004,985,444,2028/11/15,18
422,479,B2025A002,571,1790,2027/12/05,18
423,490,B2025A002,986,907,2027/10/12,12
424,329,B2026A004,570,239,2027/03/24,14
425,143,B2025A002,637,452,2029/11/30,2
426,143,B2026A003,961,681,2029/10/14,18
427,1000,B2026A001,62,1391,2027/02/24,5
428,798,B2025A003,840,775,2029/06/24,2
429,138,B2025A002,469,1709,2030/02/14,2
430,791,B2025A004,642,725,2027/03/05,6
431,238,B2026A002,632,141,2028/11/04,5
432,296,B2025A004,253,262,2030/07/17,20
433,485,B2026A002,45,1937,2027/05/18,2
434,289,B2025A003,62,368,2029/01/23,13
435,332,B2025A001,373,822,2029/01/24,1
436,557,B2026A001,31,405,2027/03/24,2
437,614,B2026A004,51,1231,2027/08/28,19
438,17,B2025A005,635,1189,2028/03/04,11
439,930,B2025A003,764,719,2028/12/02,20
440,319,B2026A002,784,152,2029/12/09,20
441,468,B2025A004,684,611,2030/10/21,15
442,170,B2025A004,289,1307,2028/08/15,10
443,570,B2026A005,617,1803,2030/06/06,18
444,958,B2026A005,871,1557,2028/08/05,20
445,402,B2025A005,108,466,2030/12/10,3
446,40,B2026A004,701,710,2027/06/13,17
447,969,B2025A002,349,212,2027/07/06,5
448,756,B2026A003,391,877,2030/05/20,4
449,564,B2025A004,494,393,2028/10/01,2
450,550,B2025A001,882,1423,2030/08/05,8
451,637,B2025A004,435,897,2027/07/05,8
452,13,B2026A003,489,1427,2030/09/04,17
453,411,B2025A001,945,1232,2030/08/28,13
454,739,B2026A004,205,1815,2029/02/14,15
455,648,B2025A001,75,1185,2029/12/21,14
456,391,B2025A001,97,1088,2027/07/21,10
457,36,B2026A003,436,1501,2027/07/22,5
458,555,B2026A005,716,1828,2028/06/04,6
459,143,B2025A002,569,625,2028/10/27,1
460,375,B2025A003,592,1821,2027/06/11,8
461,481,B2026A002,700,1517,2028/07/01,16
462,776,B2025A004,172,1098,2027/06/01,5
463,926,B2025A003,490,1820,2028/07/14,5
464,773,B2026A004,430,1106,2028/03/14,19
465,815,B2025A004,299,1403,2028/06/23,19
466,859,B2026A004,590,678,2027/07/12,13
467,251,B2026A005,84,669,2027/08/17,13
468,737,B2026A005,712,932,2029/04/02,11
469,595,B2026A005,79,589,2027/02/14,2
470,183,B2026A005,593,1452,2028/10/04,20
471,360,B2025A002,356,1767,2028/08/15,8
472,854,B2025A004,195,511,2030/03/23,13
473,802,B2025A001,261,895,2028/02/12,19
474,387,B2025A004,571,1891,2029/09/18,14
475,789,B2026A001,289,1019,2030/05/13,8
476,970,B2025A004,99,1966,2030/05/13,7
477,709,B2025A002,568,569,2027/08/20,18
478,682,B2026A003,408,795,2030/10/31,7
479,626,B2025A003,61,238,2029/01/24,2
480,395,B2026A005,877,114,2027/10/12,18
481,543,B2026A002,922,1318,2028/02/18,5
482,835,B2026A005,28,1158,2027/01/20,15
483,638,B2025A002,336,375,2029/05/01,6
484,984,B2025A001,758,1790,2029/11/24,11
485,742,B2025A002,639,858,2029/06/15,14
486,130,B2025A005,623,1022,2028/09/09,5
487,859,B2025A003,766,896,2030/04/02,5
488,711,B2026A005,608,325,2028/10/05,4
489,59,B2025A005,123,1645,2027/05/01,9
490,991,B2025A004,503,119,2030/08/21,7
491,282,B2026A004,100,875,2029/05/11,2
492,671,B2026A005,655,1825,2029/05/14,6
493,101,B2026A003,534,288,2029/08/22,3
494,720,B2026A005,558,1958,2028/08/21,12
495,940,B2026A004,217,929,2030/03/17,2
496,797,B2026A002,32,137,2029/07/31,18
497,693,B2026A005,995,579,2029/04/01,4
498,68,B2026A001,256,1406,2027/01/28,16
499,175,B2025A002,403,1496,2029/02/13,10
500,762,B2026A004,628,741,2027/11/03,14
501,802,B2026A005,704,363,2030/09/29,12
502,7,B2025A004,673,691,2028/02/19,19
503,813,B2025A002,924,1932,2027/11/26,17
504,129,B2026A005,694,1146,2029/06/28,12
505,377,B2026A002,700,937,2030/09/06,11
506,864,B2025A001,581,1087,2027/01/13,2
507,176,B2025A004,870,1656,2030/12/03,13
508,195,B2026A005,750,494,2027/05/29,18
509,370,B2025A003,79,965,2027/12/24,2
510,347,B2025A005,120,355,2028/08/28,8
511,474,B2026A002,262,647,2028/08/23,3
512,7,B2025A001,403,1376,2030/12/04,9
513,794,B2026A004,912,1825,2030/08/18,18
514,164,B2025A003,304,529,2029/11/26,6
515,771,B2025A002,324,236,2028/07/17,6
516,543,B2026A005,631,293,2027/10/08,4
517,84,B2025A005,230,830,2028/01/29,20
518,249,B2026A005,672,1084,2030/01/08,1
519,427,B2026A001,72,1841,2030/11/13,3
520,751,B2025A005,129,693,2029/12/11,4
521,868,B2025A002,367,139,2029/04/20,16
522,545,B2025A001,370,938,2028/03/03,11
523,643,B2025A005,899,474,2030/05/05,10
524,44,B2026A003,40,177,2027/09/18,19
525,937,B2025A001,954,1079,2029/12/29,14
526,286,B2026A004,639,1954,2028/03/13,2
527,265,B2026A001,221,1064,2030/11/02,1
528,728,B2026A005,114,1921,2030/10/10,20
529,379,B2026A003,202,492,2027/08/10,13
530,910,B2026A002,690,334,2027/11/14,17
531,901,B2026A002,792,416,2028/07/18,16
532,702,B2026A004,427,1960,2029/02/02,20
533,720,B2025A003,55,985,2028/06/21,9
534,375,B2025A005,858,1472,2028/06/21,5
535,918,B2025A005,357,1969,2027/10/28,6
536,2,B2026A001,124,731,2029/03/10,9
537,10,B2026A001,404,1231,2029/07/23,20
538,28,B2025A003,777,764,2030/10/23,17
539,879,B2025A001,800,1572,2027/01/23,15
540,356,B2025A003,984,1651,2029/11/06,7
541,91,B2026A003,775,432,2028/05/08,5
542,165,B2026A002,706,1480,2028/07/29,6
543,980,B2025A003,804,1318,2030/04/08,9
544,278,B2026A001,676,487,2027/02/05,12
545,369,B2026A001,60,653,2028/11/09,19
546,639,B2025A002,597,1340,2028/10/01,16
547,522,B2025A003,908,918,2028/02/10,16
548,232,B2026A003,145,1421,2028/09/02,14
549,163,B2026A004,14,109,2029/01/13,14
550,620,B2026A002,397,964,2029/10/08,18
551,364,B2025A002,69,903,2030/03/19,4
552,769,B2025A002,426,747,2029/12/22,7
553,642,B2025A002,552,622,2028/10/16,16
554,150,B2026A005,368,1978,2030/02/15,17
555,555,B2025A004,918,1900,2028/09/11,2
556,339,B2025A001,461,1859,2030/05/14,3
557,127,B2025A004,304,188,2030/09/28,3
558,150,B2026A003,503,113,2027/12/04,20
559,586,B2025A003,488,480,2027/05/29,16
560,71,B2025A001,810,1787,2027/04/14,8
561,154,B2025A004,463,577,2030/02/19,19
562,436,B2026A004,279,578,2030/03/22,15
563,480,B2026A005,155,1661,2028/12/30,5
564,716,B2026A001,593,1128,2027/07/03,9
565,95,B2026A001,642,1919,2028/05/25,3
566,389,B2025A002,381,437,2030/07/01,6
567,706,B2026A002,34,1992,2027/06/14,19
568,428,B2026A004,501,1253,2030/07/15,7
569,363,B2026A001,910,1846,2027/12/04,9
570,842,B2025A005,685,1810,2027/06/07,3
571,957,B2026A003,613,256,2030/07/12,5
572,961,B2026A001,691,1844,2027/10/22,12
573,520,B2026A001,2,294,2029/09/26,1
574,502,B2025A001,837,1937,2027/01/27,2
575,713,B2026A001,111,1141,2027/05/18,8
576,855,B2026A003,503,1589,2027/12/09,11
577,897,B2025A004,34,402,2028/11/12,1
578,924,B2026A005,751,286,2029/02/23,1
579,942,B2026A003,620,1605,2027/05/23,20
580,288,B2026A002,753,435,2029/06/21,4
581,200,B2025A001,563,851,2027/11/04,5
582,998,B2025A004,267,366,2030/06/23,4
583,206,B2025A003,67,1449,2028/06/27,3
584,943,B2025A004,585,1235,2027/05/23,2
585,538,B2025A001,641,1336,2029/10/12,12
586,733,B2025A002,610,1461,2030/05/21,11
587,607,B2026A003,205,1644,2027/10/23,19
588,562,B2026A002,908,751,2029/06/15,1
589,721,B2025A003,780,1263,2030/02/17,13
590,316,B2026A002,961,1300,2027/06/29,14
591,471,B2026A003,525,1605,2030/08/13,15
